0.1,1.105170918
0.2,1.221402758
0.3,1.349858808
0.4,1.491824698
0.5,1.648721271
0.6,1.8221188
0.7,2.013752707
0.8,2.225540928
0.9,2.459603111
1,2.718281828
1.1,3.004166024
1.2,3.320116923
1.3,3.669296668
1.4,4.055199967
1.5,4.48168907
1.6,4.953032424
1.7,5.473947392
1.8,6.049647464
1.9,6.685894442
2,7.389056099
2.1,8.166169913
2.2,9.025013499
2.3,9.974182455
2.4,11.02317638
2.5,12.18249396
2.6,13.46373804
2.7,14.87973172
2.8,16.44464677
2.9,18.17414537
3,20.08553692
3.1,22.19795128
3.2,24.5325302
3.3,27.11263892
3.4,29.96410005
3.5,33.11545196
3.6,36.59823444
3.7,40.44730436
3.8,44.70118449
3.9,49.40244911
4,54.59815003
